"reg";"Acte CCAM + phase";"nb_actes";"nb_sej_0_nuit";"dms"
"01";"FCFA0290";"52";".";"6.17307692307692"
"01";"FCFC0030";"61";".";"5.50980392156862"
"01";"FCHB0010";"25";".";"17.08"
"01";"FCQX0040";"176";"21";"10.9473684210526"
"01";"FCQX0050";"123";"15";"2.91735537190082"
"01";"FCQX0060";"289";".";"6.2"
"01";"FCQX0070";"11";".";"2.18181818181818"
"01";"FCQX0080";"36";".";"3.86111111111111"
"01";"FCQX0100";"140";".";"7.92805755395683"
"01";"FCQX0110";"16";".";"25.1875"
"01";"FCQX0120";"27";".";"15.3333333333333"
"01";"FCQX0280";"13";".";"13.2307692307692"
"01";"FDHB0010";"100";"42";"13.1521739130434"
"01";"FDHB0020";"15";".";"22.6666666666666"
"01";"FDHB0060";"73";"65";"0.75342465753424"
"01";"FDQX0070";"70";"17";"19.9285714285714"
"01";"FEHB0010";"2074";"16";"20.388140161725"
"01";"FEJF0020";"178";".";"19"
"01";"FEJF0030";"424";"397";"0.26555023923444"
"01";"FEJF0040";"128";"127";"0.1796875"
"01";"FEJF0060";"159";"133";"1.33552631578947"
"01";"FELF0020";"146";".";"40"
"01";"FELF0030";"336";".";"22.4415584415584"
"01";"FELF0040";"411";"51";"20.3026315789473"
"01";"FELF0060";"529";"75";"18.2188365650969"
"01";"FELF0070";"357";".";"52.7526315789473"
"01";"FELF0110";"5687";"387";"13.9571501014198"
"01";"FELF0120";"252";"207";"1.65182186234817"
"01";"FEPF0030";"438";"398";"0.72477064220183"
"01";"FFFA0010";"25";".";"15.8260869565217"
"01";"FGRB0010";"30";"29";"0"
"01";"FGRB0020";"43";"42";"0"
"01";"FGRB0030";"102";".";"0.60824742268041"
"01";"FGRD0030";"71";"70";"0.14084507042253"
"01";"GABD0010";"11";".";"10.1"
"01";"GAFA0070";"39";"23";"1.28205128205128"
"01";"GAFD0010";"19";".";"2.63157894736842"
"01";"GAFD0020";"18";".";"1.72222222222222"
"01";"GAGD0020";"16";".";"1.2"
"01";"GAMA0070";"91";".";"1.81318681318681"
"01";"GAMA0120";"12";".";"1.91666666666666"
"01";"GAMA0180";"48";"38";"0.44444444444444"
"01";"GAME0010";"67";"15";"2.265625"
"01";"GAND0010";"183";"163";"0.14207650273224"
"01";"GAQE0010";"159";"16";"10.46"
"01";"GASE0010";"18";"14";"1.83333333333333"
"01";"GBFA0080";"28";".";"1.5"
"01";"GBPE0010";"271";"21";"2.57613168724279"
"01";"GBPE0030";"43";".";"1.23255813953488"
"01";"GCQE0010";"281";"11";"16.0357142857142"
"01";"GDFE0030";"14";".";"2.07142857142857"
"01";"GDFE0040";"38";".";"0.73684210526315"
"01";"GDQE0040";"221";"16";"7.43518518518518"
"01";"GDQE0050";"36";".";"6.52941176470588"
"01";"GDQX0050";"12";".";"28.3333333333333"
"01";"GEHD0010";"104";".";"24.1304347826087"
"01";"GEHE0010";"170";".";"23.4339622641509"
"01";"GEJE0030";"31";".";"46.2916666666666"
"01";"GELD0010";"96";".";"49.8522727272727"
"01";"GELD0020";"47";".";"18.6222222222222"
"01";"GELD0030";"134";".";"49.2063492063492"
"01";"GELD0040";"1051";"41";"28.7111959287531"
"01";"GELD0050";"4887";"126";"10.5269102990033"
"01";"GELE0010";"1915";"619";"4.62169603524229"
"01";"GELF0010";"79";".";"57.7021276595744"
"01";"GEPA0040";"110";".";"39.0833333333333"
"01";"GEQE0040";"557";"65";"20.1405295315682"
"01";"GEQE0060";"73";".";"18.21875"
"01";"GEQE0070";"488";"70";"16.6748166259168"
"01";"GEQE0090";"29";".";"22.4444444444444"
"01";"GEQE0120";"43";".";"34.5357142857142"
"01";"GEQE0130";"177";"11";"6.75882352941176"
"01";"GEQX0010";"11";".";"18.5454545454545"
"01";"GEQX0020";"76";".";"16.0526315789473"
"01";"GERD0010";"253";"30";"8.45967741935483"
"01";"GFFA0130";"13";".";"15.3846153846153"
"01";"GFQL0010";"12";".";"20.75"
"01";"GFQL0020";"128";".";"16.84375"
"01";"GFQL0050";"49";".";"22.0851063829787"
"01";"GFQL0060";"124";".";"12.017094017094"
"01";"GFQL0070";"36";".";"17.2647058823529"
"01";"GFQM0010";"226";".";"21.8774193548387"
"01";"GFQX0200";"168";".";"15.5072463768115"
"01";"GGHB0010";"200";".";"20.6041666666666"
"01";"GGHB0020";"52";".";"25.1315789473684"
"01";"GGJB0010";"474";".";"17.664536741214"
"01";"GGJB0020";"344";".";"19.6951871657754"
"01";"GGLB0060";"34";".";"23.7931034482758"
"01";"GGLC0010";"16";".";"23.875"
"01";"GHFA0010";"26";".";"2.92307692307692"
"01";"GLHF0010";"10707";"353";"10.3947789025039"
"01";"GLHF0020";"247";".";"6.21590909090909"
"01";"GLLD0020";"29";".";"9.95652173913043"
"01";"GLLD0030";"8862";".";"24.7028051554207"
"01";"GLLD0040";"464";".";"31.4015748031496"
"01";"GLLD0050";"242";".";"25.7903225806451"
"01";"GLLD0060";"283";".";"24.126582278481"
"01";"GLLD0080";"2139";"48";"21.4893617021276"
"01";"GLLD0090";"276";".";"37.88"
"01";"GLLD0120";"324";".";"21.1428571428571"
"01";"GLLD0130";"1094";".";"58.71875"
"01";"GLLD0150";"10338";"19";"26.5960144927536"
"01";"GLLD0170";"14531";"91";"17.4883184309201"
"01";"GLLD0180";"258";".";"26.3818897637795"
"01";"GLLD0190";"1296";".";"22.7627450980392"
"01";"GLLP0030";"173";".";"22.3490566037735"
"01";"GLLP0060";"172";"171";"0.00581395348837"
"01";"GLLP0070";"52";".";"10.4615384615384"
"01";"GLMF0010";"493";".";"19.547619047619"
"01";"GLMP0010";"27";".";"9.60869565217391"
"01";"GLQD0040";"99";".";"5.41052631578947"
"01";"GLQD0070";"225";"188";"1.24553571428571"
"01";"GLQF0010";"415";".";"13.8684210526315"
"01";"GLQP0010";"2117";"12";"22.2596685082872"
"01";"GLQP0020";"1236";"579";"3.39306358381502"
"01";"GLQP0040";"2036";".";"26.3647798742138"
"01";"GLQP0050";"6452";"26";"15.8663895486935"
"01";"GLQP0070";"883";".";"4.11565420560747"
"01";"GLQP0080";"69";".";"16.1372549019607"
"01";"GLQP0120";"69";".";"9.64615384615384"
"01";"GLQP0130";"15";".";"6.73333333333333"
"01";"GLQP0160";"616";"464";"2.29296235679214"
"01";"GLQP0170";"31";".";"19.3076923076923"
"01";"HAFA0080";"15";"11";"0.28571428571428"
"01";"HAFA0150";"12";".";"0.16666666666666"
"01";"HAFA0320";"18";".";"1.3125"
"01";"HAJA0060";"16";".";"4.3125"
"01";"HAMA0270";"15";".";"0.69230769230769"
"01";"HAPA0010";"28";"25";"0.07407407407407"
"01";"HAPA0030";"12";"11";"0.08333333333333"
"01";"HAPD0010";"43";"36";"0.30232558139534"
"01";"HBDD0080";"14";".";"7.85714285714285"
"01";"HBFD0060";"62";"18";"0.14285714285714"
"01";"HBGB0010";"29";"20";"2.48148148148148"
"01";"HBGD0020";"25";"17";"0.78260869565217"
"01";"HBGD0030";"50";"29";"0.2"
"01";"HBGD0040";"72";"62";"0.38028169014084"
"01";"HBGD0140";"20";"20";"0"
"01";"HBGD0160";"16";"12";"0.21428571428571"
"01";"HBGD0170";"19";"12";"0.2"
"01";"HBGD0180";"11";".";"0"
"01";"HBGD0210";"112";"110";"0.009009009009"
"01";"HBGD0220";"46";"29";"1.23255813953488"
"01";"HBGD0250";"230";"206";"0.08597285067873"
"01";"HBGD0310";"16";".";"6.25"
"01";"HBGD0340";"24";".";"5.9047619047619"
"01";"HBGD0350";"43";"28";"0.86111111111111"
"01";"HBGD0360";"147";"105";"2.60283687943262"
"01";"HBGD0370";"19";"14";"0.17647058823529"
"01";"HBGD0380";"1101";"960";"0.13259668508287"
"01";"HBGD0390";"25";"21";"0.16666666666666"
"01";"HBGD0400";"18";"17";"0"
"01";"HBGD0430";"152";"117";"1.6938775510204"
"01";"HBGD0640";"24";"16";"0.76190476190476"
"01";"HBGD0650";"12";".";"0.91666666666666"
"01";"HBGD0760";"55";"37";"2.29787234042553"
"01";"HBGD1060";"36";"27";"1.71428571428571"
"01";"HBGD1460";"17";".";"0.66666666666666"
"01";"HBGD2630";"12";".";"0.9"
"01";"HBGD2840";"23";"17";"0.21052631578947"
"01";"HBGD3090";"23";"15";"0.27777777777777"
"01";"HBGD3190";"75";"53";"3.52941176470588"
"01";"HBGD4200";"24";".";"2"
"01";"HBGD4220";"37";".";"0.81818181818181"
"01";"HBGD4590";"21";"14";"0"
"01";"HBGD4620";"16";".";"0.38461538461538"
"01";"HBGD4890";"84";"58";"4.71428571428571"
"01";"HBGD4970";"60";"50";"0.87719298245614"
"01";"HBJD0010";"136";"100";"4.02459016393442"
"01";"HBMD0380";"207";"50";"1.93650793650793"
"01";"HBMD0430";"21";".";"0"
"01";"HBMD0490";"136";"41";"0.5531914893617"
"01";"HBMD0500";"32";"12";"0.6"
"01";"HBMD0530";"246";"54";"0.54545454545454"
"01";"HBMD0540";"117";"32";"0.41025641025641"
"01";"HBMD0580";"96";"29";"0.92105263157894"
"01";"HBQK0020";"614";"102";"12.881443298969"
"01";"HBQK0610";"12";".";"8.5"
"01";"HCFA0070";"22";"17";"1.18181818181818"
"01";"HCFA0080";"18";".";"5.17647058823529"
